Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RLoad))	mag(I(RSource))
2.05130385250281e+06	1.06975612849116e-02,0.00000000000000e+00	1.84369421107779e-05,0.00000000000000e+00	1.84369421107816e-05,0.00000000000000e+00	1.06975612849086e-02,0.00000000000000e+00
2.05603259625295e+06	1.07223392880929e-02,0.00000000000000e+00	1.85651479734650e-05,0.00000000000000e+00	1.85651479734652e-05,0.00000000000000e+00	1.07223392880933e-02,0.00000000000000e+00
2.06077224088323e+06	1.07471683795836e-02,0.00000000000000e+00	1.86942234205344e-05,0.00000000000000e+00	1.86942234205354e-05,0.00000000000000e+00	1.07471683795813e-02,0.00000000000000e+00
2.06552281152279e+06	1.07720485554238e-02,0.00000000000000e+00	1.88241738686616e-05,0.00000000000000e+00	1.88241738686557e-05,0.00000000000000e+00	1.07720485554250e-02,0.00000000000000e+00
2.07028433335869e+06	1.07969798099068e-02,0.00000000000000e+00	1.89550047587092e-05,0.00000000000000e+00	1.89550047587114e-05,0.00000000000000e+00	1.07969798099046e-02,0.00000000000000e+00
2.07505683163602e+06	1.08219621355289e-02,0.00000000000000e+00	1.90867215557439e-05,0.00000000000000e+00	1.90867215557450e-05,0.00000000000000e+00	1.08219621355280e-02,0.00000000000000e+00
2.07984033165812e+06	1.08469955230297e-02,0.00000000000000e+00	1.92193297489709e-05,0.00000000000000e+00	1.92193297489668e-05,0.00000000000000e+00	1.08469955230267e-02,0.00000000000000e+00
2.08463485878661e+06	1.08720799612814e-02,0.00000000000000e+00	1.93528348515745e-05,0.00000000000000e+00	1.93528348515749e-05,0.00000000000000e+00	1.08720799612820e-02,0.00000000000000e+00
2.08944043844160e+06	1.08972154373382e-02,0.00000000000000e+00	1.94872424006389e-05,0.00000000000000e+00	1.94872424006387e-05,0.00000000000000e+00	1.08972154373341e-02,0.00000000000000e+00
2.09425709610180e+06	1.09224019363467e-02,0.00000000000000e+00	1.96225579570936e-05,0.00000000000000e+00	1.96225579570984e-05,0.00000000000000e+00	1.09224019363510e-02,0.00000000000000e+00
2.09908485730464e+06	1.09476394415938e-02,0.00000000000000e+00	1.97587871056134e-05,0.00000000000000e+00	1.97587871056099e-05,0.00000000000000e+00	1.09476394415963e-02,0.00000000000000e+00
2.10392374764644e+06	1.09729279343920e-02,0.00000000000000e+00	1.98959354543909e-05,0.00000000000000e+00	1.98959354543932e-05,0.00000000000000e+00	1.09729279343949e-02,0.00000000000000e+00
2.10877379278251e+06	1.09982673941186e-02,0.00000000000000e+00	2.00340086352125e-05,0.00000000000000e+00	2.00340086352085e-05,0.00000000000000e+00	1.09982673941194e-02,0.00000000000000e+00
2.11363501842731e+06	1.10236577981566e-02,0.00000000000000e+00	2.01730123031556e-05,0.00000000000000e+00	2.01730123031560e-05,0.00000000000000e+00	1.10236577981577e-02,0.00000000000000e+00
